"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.253416664E-3,-3.203338623E-1,9.793683929E0,-1.905537415E-1,9.800773920E0
1.228341667E-2,-3.200344849E-1,9.802814941E0,-2.209405518E-1,9.810525856E0
2.231341667E-2,-3.089575195E-1,9.801318054E0,-2.242337036E-1,9.808749722E0
3.234341666E-2,-3.020718384E-1,9.799671478E0,-1.817221069E-1,9.806009963E0
4.237341667E-2,-3.008743286E-1,9.805808716E0,-1.468446350E-1,9.811522475E0
5.240341667E-2,-2.933898926E-1,9.800569611E0,-1.423539734E-1,9.805993421E0
6.243341666E-2,-2.885998535E-1,9.801168365E0,-1.335223389E-1,9.806325480E0
7.246341667E-2,-2.815644836E-1,9.796078949E0,-1.356179810E-1,9.801062880E0
8.249341667E-2,-2.927911377E-1,9.796228638E0,-1.405577087E-1,9.801611023E0
9.252341666E-2,-2.842588806E-1,9.799372101E0,-1.356179810E-1,9.804432106E0
1.025534167E-1,-2.818638611E-1,9.799372101E0,-1.323248291E-1,9.804317960E0
1.125834167E-1,-2.933898926E-1,9.806856537E0,-1.510359192E-1,9.812406668E0
1.226134167E-1,-2.903961182E-1,9.815688171E0,-1.642085266E-1,9.821355743E0
1.326434167E-1,-2.915936279E-1,9.812694397E0,-1.718426514E-1,9.818529832E0
1.426734167E-1,-2.871029663E-1,9.808652802E0,-1.609153748E-1,9.814172999E0
1.527034167E-1,-2.942880249E-1,9.793534241E0,-1.389111328E-1,9.798939467E0
1.627334167E-1,-2.950364685E-1,9.802665253E0,-1.510359192E-1,9.808267147E0
1.727634167E-1,-2.866539001E-1,9.797276459E0,-1.490899658E-1,9.802602934E0
1.827944167E-1,-1.577719116E-1,9.768835602E0,-1.606159973E-1,9.771429706E0
1.928244167E-1,-1.589694214E-1,9.760752411E0,-1.850152588E-1,9.763799954E0
2.028544167E-1,-5.715115356E-1,9.852810974E0,-1.437011719E-1,9.870418408E0
