"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.316666695E-4,1.098715210E-1,5.179229736E-2,9.877659302E0,9.878406120E0
1.066066667E-2,1.013392639E-1,6.227050781E-2,9.834698639E0,9.835417865E0
2.068966668E-2,8.352630615E-2,8.532257080E-2,9.836943970E0,9.837668588E0
3.071966667E-2,7.978408813E-2,9.370513916E-2,9.864187317E0,9.864955022E0
4.074866667E-2,6.990463257E-2,9.400451660E-2,9.833052063E0,9.833749864E0
5.077766668E-2,5.688171387E-2,1.053808594E-1,9.810149689E0,9.810880571E0
6.080766667E-2,5.852828979E-2,9.969268799E-2,9.834099884E0,9.834779343E0
7.083666667E-2,5.164260864E-2,9.265731812E-2,9.844129028E0,9.844700537E0
8.086566668E-2,6.182144165E-2,8.592132568E-2,9.830357666E0,9.830927535E0
9.089466668E-2,8.247848511E-2,7.095245361E-2,9.821076965E0,9.821679577E0
1.009246667E-1,9.565109253E-2,7.080276489E-2,9.852511597E0,9.853230279E0
1.109536667E-1,1.043330383E-1,6.451583862E-2,9.872270508E0,9.873032597E0
1.209826667E-1,1.160087585E-1,5.538482666E-2,9.861792297E0,9.862630117E0
1.310126667E-1,1.287322998E-1,6.167175293E-2,9.849218445E0,9.850252757E0
1.410416667E-1,1.202000427E-1,7.229965210E-2,9.872719574E0,9.873715971E0
1.510706667E-1,9.729766846E-2,7.843688965E-2,9.862241364E0,9.863033199E0
1.611006667E-1,8.652008057E-2,8.996292114E-2,9.835447083E0,9.836239036E0
1.711296667E-1,7.035369873E-2,9.595046997E-2,9.824819183E0,9.825539584E0
1.811586667E-1,5.613327026E-2,8.666976929E-2,9.815538483E0,9.816081616E0
1.911886667E-1,4.595443726E-2,8.681945801E-2,9.836794281E0,9.837284745E0
2.012176667E-1,4.161346436E-2,8.187973022E-2,9.821526031E0,9.821955485E0
2.112466667E-1,5.134323120E-2,8.547225952E-2,9.813143463E0,9.813649997E0
2.212766667E-1,7.798782349E-2,7.484436035E-2,9.841734009E0,9.842327574E0
2.313056667E-1,7.783813477E-2,7.170089722E-2,9.856253815E0,9.856821955E0
2.413346667E-1,1.038839722E-1,6.721023560E-2,9.862840118E0,9.863616188E0
2.513646667E-1,1.203497314E-1,6.556365967E-2,9.848170624E0,9.849124189E0
2.613936667E-1,1.354682922E-1,6.451583862E-2,9.865085449E0,9.866226476E0
2.714226667E-1,1.281335449E-1,6.885681152E-2,9.879904633E0,9.880975408E0
2.814526667E-1,1.142124939E-1,7.020401001E-2,9.862391052E0,9.863302204E0
2.914816667E-1,8.577163696E-2,7.170089722E-2,9.833052063E0,9.833687542E0
3.015106667E-1,6.975494385E-2,7.244934082E-2,9.830507355E0,9.831021794E0
3.115396667E-1,4.999603271E-2,7.798782349E-2,9.825268250E0,9.825704956E0
3.215696667E-1,3.772155762E-2,9.056167603E-2,9.821226654E0,9.821716618E0
3.315986667E-1,4.011657715E-2,9.535171509E-2,9.819580078E0,9.820124958E0
3.416282917E-1,4.340972900E-2,9.131011963E-2,9.818681946E0,9.819202467E0
3.516582917E-1,5.433700562E-2,9.041198730E-2,9.845775604E0,9.846340644E0
3.616872917E-1,7.574249268E-2,9.355545044E-2,9.859996033E0,9.860730770E0
3.717162917E-1,9.610015869E-2,7.514373779E-2,9.842033386E0,9.842789391E0
3.817462917E-1,1.092727661E-1,6.526428223E-2,9.850415955E0,9.851238219E0
3.917752917E-1,1.249900818E-1,5.523513794E-2,9.870474243E0,9.871420122E0
4.018042917E-1,1.296304321E-1,5.628295898E-2,9.871222687E0,9.872234253E0
4.118342917E-1,1.207987976E-1,5.987548828E-2,9.852661285E0,9.853583705E0
4.218632917E-1,8.831634521E-2,6.691085815E-2,9.848170624E0,9.848793910E0
4.318922917E-1,8.457412720E-2,7.140151978E-2,9.845027161E0,9.845649331E0
4.419222917E-1,7.484436035E-2,7.723937988E-2,9.835896149E0,9.836484161E0
4.519512917E-1,6.107299805E-2,9.011260986E-2,9.823022919E0,9.823626085E0
4.619802917E-1,4.580474854E-2,9.954299927E-2,9.813742218E0,9.814353937E0
4.720102917E-1,4.640350342E-2,1.064286804E-1,9.837842102E0,9.838527206E0
4.820392917E-1,5.343887329E-2,9.295669556E-2,9.838440857E0,9.839025112E0
4.920682917E-1,7.244934082E-2,9.310638428E-2,9.837842102E0,9.838549432E0
5.020972917E-1,8.247848511E-2,8.442443848E-2,9.834399261E0,9.835107474E0
5.121272917E-1,9.310638428E-2,7.319778442E-2,9.860894165E0,9.861605369E0
5.221562917E-1,1.031355286E-1,6.421646118E-2,9.869576111E0,9.870323870E0
5.321852917E-1,1.119671631E-1,6.421646118E-2,9.851763153E0,9.852608671E0
5.422152917E-1,1.101708984E-1,6.002517700E-2,9.852511597E0,9.853310378E0
5.522442917E-1,1.085243225E-1,5.837860107E-2,9.869426422E0,9.870195717E0
5.622732917E-1,1.074765015E-1,6.316864014E-2,9.864337006E0,9.865124735E0
5.723032917E-1,8.681945801E-2,8.068222046E-2,9.848020935E0,9.848734110E0
5.823322917E-1,7.364685059E-2,8.861572266E-2,9.837542725E0,9.838217494E0
5.923612917E-1,6.152206421E-2,9.011260986E-2,9.825717316E0,9.826323118E0
6.023912917E-1,4.640350342E-2,9.265731812E-2,9.829459534E0,9.830005767E0
6.124202917E-1,5.658233643E-2,9.370513916E-2,9.830207977E0,9.830817417E0
6.224492917E-1,5.688171387E-2,8.397537231E-2,9.828411713E0,9.828935048E0
6.324792917E-1,5.927673340E-2,8.143066406E-2,9.832453308E0,9.832969172E0
6.425082917E-1,6.810836792E-2,7.319778442E-2,9.842931519E0,9.843439315E0
6.525372917E-1,9.355545044E-2,6.855743408E-2,9.852810974E0,9.853493636E0
6.625672917E-1,1.076261902E-1,5.748046875E-2,9.849368134E0,9.850123859E0
6.725962917E-1,1.133143616E-1,6.167175293E-2,9.852960663E0,9.853805223E0
6.826252917E-1,1.110690308E-1,6.496490479E-2,9.855056305E0,9.855896283E0
6.926552917E-1,1.083746338E-1,6.691085815E-2,9.859397278E0,9.860219917E0
7.026842917E-1,1.047821045E-1,8.427474976E-2,9.849667511E0,9.850585343E0
7.127132917E-1,8.292755127E-2,8.502319336E-2,9.846524048E0,9.847240311E0
7.227422917E-1,6.227050781E-2,7.813751221E-2,9.837243347E0,9.837750747E0
7.327722917E-1,6.197113037E-2,8.397537231E-2,9.823921051E0,9.824475411E0
7.428012917E-1,4.894821167E-2,8.607101440E-2,9.822573853E0,9.823072902E0
7.528302917E-1,4.535568237E-2,8.143066406E-2,9.826765137E0,9.827207189E0
7.628602917E-1,5.388793945E-2,7.095245361E-2,9.835746460E0,9.836149988E0
7.728892917E-1,7.813751221E-2,7.589218140E-2,9.841584320E0,9.842187106E0
7.829182917E-1,9.340576172E-2,7.903564453E-2,9.849667511E0,9.850427470E0
7.929482917E-1,1.037342834E-1,8.023315430E-2,9.846374359E0,9.847247645E0
8.029772917E-1,1.112187195E-1,6.870712280E-2,9.862391052E0,9.863257451E0
8.130062917E-1,1.094224548E-1,7.020401001E-2,9.858349457E0,9.859206656E0
8.230362917E-1,1.010398865E-1,7.574249268E-2,9.857451324E0,9.858260120E0
8.330652917E-1,1.010398865E-1,7.993377686E-2,9.840835876E0,9.841679187E0
8.430942917E-1,8.502319336E-2,7.125183105E-2,9.845476227E0,9.846101152E0
8.531242917E-1,7.529342651E-2,7.948471069E-2,9.841883698E0,9.842492654E0
8.631532917E-1,7.589218140E-2,8.442443848E-2,9.832602997E0,9.833258300E0
8.731822917E-1,6.721023560E-2,8.307723999E-2,9.819879456E0,9.820460863E0
8.832122917E-1,6.556365967E-2,8.098159790E-2,9.819580078E0,9.820132867E0
8.932412917E-1,6.077362061E-2,8.652008057E-2,9.838141479E0,9.838709617E0
9.032702917E-1,7.259902954E-2,8.322692871E-2,9.852810974E0,9.853429932E0
9.132992917E-1,8.337661743E-2,8.592132568E-2,9.853260040E0,9.853987394E0
9.233292917E-1,9.475296021E-2,7.948471069E-2,9.849817200E0,9.850593627E0
9.333582917E-1,9.056167603E-2,7.394622803E-2,9.842033386E0,9.842727805E0
9.433872917E-1,9.639953613E-2,7.244934082E-2,9.854008484E0,9.854746317E0
