            n, insertion_cmp, insertion_swaps, insertion_time,     quick_cmp,   quick_swaps,    quick_time,      heap_cmp,    heap_swaps,     heap_time,     merge_cmp,   merge_swaps,    merge_time
1,             1,             0,             2,             1,             0,             7,            10,             1,            20,             1,             0,             2
2,             6,             1,             1,            14,             4,             7,            29,             3,             3,            16,             1,             7
3,            17,             4,             1,            36,            10,             3,            57,             7,             3,            49,             4,             4
4,            31,             7,             1,            73,            16,             5,           106,            15,             4,            98,             9,            17
5,            48,            10,             2,           124,            24,             7,           173,            27,             4,           164,            15,             5
6,            70,            14,             1,           196,            37,             7,           257,            42,             5,           251,            23,             6
7,            99,            20,             1,           262,            51,            28,           352,            59,             6,           360,            34,             8
8,           131,            26,             1,           345,            65,            11,           470,            80,             6,           488,            48,            16
9,           166,            32,             1,           464,            81,             8,           609,           105,             7,           635,            63,             8
10,           204,            38,             1,           587,            97,             7,           777,           136,            13,           805,            81,             9
11,           247,            45,             2,           719,           116,            10,           963,           170,             8,           998,           102,            13
12,           293,            52,             2,           870,           138,            13,          1179,           210,            15,          1213,           125,            14
13,           344,            60,             1,          1031,           163,            11,          1419,           255,            10,          1449,           149,            17
14,           398,            68,             2,          1216,           190,            16,          1682,           304,            15,          1711,           178,            18
15,           455,            76,             2,          1399,           216,            15,          1966,           357,            28,          1994,           208,            16
16,           517,            85,             3,          1600,           245,            11,          2278,           415,             4,          2303,           244,            20
17,           586,            96,             3,          1817,           277,            16,          2619,           479,             4,          2636,           282,            17
18,           658,           107,             2,          2051,           312,            16,          2984,           547,             5,          2992,           322,            41
19,           733,           118,             2,          2315,           344,            21,          3378,           621,             5,          3369,           363,            17
20,           813,           130,             3,          2593,           381,            17,          3807,           702,             4,          3777,           410,            17
21,           896,           142,             2,          2898,           430,            18,          4259,           787,             6,          4210,           461,            15
22,           982,           154,             2,          3222,           481,            23,          4736,           876,             4,          4664,           512,            17
23,          1073,           167,             3,          3537,           523,            15,          5245,           972,             4,          5145,           566,            20
24,          1167,           180,             3,          3879,           563,            23,          5786,          1074,             5,          5656,           627,            13
25,          1264,           193,             3,          4228,           617,            16,          6357,          1182,             5,          6189,           689,            13
26,          1364,           206,             3,          4598,           673,            28,          6953,          1294,             5,          6743,           751,            12
27,          1467,           219,             3,          4976,           723,            25,          7578,          1412,             5,          7320,           814,            54
28,          1579,           235,             6,          5383,           781,            21,          8237,          1537,             9,          7933,           886,            17
29,          1696,           252,             3,          5783,           830,            68,          8918,          1666,             6,          8572,           961,            28
30,          1816,           269,             3,          6208,           887,            15,          9626,          1799,             6,          9238,          1040,             3
31,          1939,           286,             4,          6684,           952,            22,         10363,          1938,             6,          9929,          1122,             3
32,          2065,           303,             4,          7154,          1013,            36,         11146,          2087,             7,         10648,          1210,             6
33,          2198,           322,             4,          7652,          1079,            14,         11962,          2242,             6,         11393,          1300,             9
34,          2336,           342,             4,          8179,          1154,            15,         12807,          2402,             9,         12166,          1393,             8
35,          2483,           365,             4,          8701,          1223,            16,         13683,          2568,             7,         12965,          1488,             5
36,          2633,           388,             4,          9240,          1294,            14,         14604,          2744,             7,         13795,          1589,             6
37,          2786,           411,             5,          9825,          1366,            15,         15556,          2926,             7,         14647,          1691,             4
38,          2944,           435,             4,         10443,          1443,            18,         16551,          3117,             8,         15528,          1795,             7
39,          3105,           459,             4,         11045,          1531,            16,         17571,          3312,             8,         16435,          1903,             9
40,          3269,           483,             4,         11676,          1619,            17,         18622,          3513,             8,         17375,          2017,             8
41,          3436,           507,             5,         12320,          1694,            16,         19706,          3720,             9,         18339,          2132,             5
42,          3608,           532,             4,         13007,          1782,            20,         20825,          3934,             9,         19337,          2254,             5
43,          3787,           559,             5,         13712,          1872,            46,         21975,          4154,            10,         20362,          2379,             6
44,          3971,           587,             5,         14423,          1964,             4,         23162,          4381,             9,         21414,          2506,             5
45,          4158,           615,             5,         15173,          2066,            59,         24387,          4616,            30,         22493,          2637,            42
46,          4348,           643,             5,         15922,          2164,             3,         25641,          4855,            10,         23603,          2771,             6
47,          4543,           672,             5,         16662,          2257,             5,         26922,          5099,             8,         24741,          2908,             4
48,          4745,           703,             5,         17419,          2352,             4,         28232,          5349,             9,         25916,          3055,             6
49,          4950,           734,             5,         18229,          2457,             6,         29574,          5605,             9,         27115,          3204,             5
50,          5158,           765,             5,         19064,          2571,             3,         30962,          5871,            14,         28346,          3357,             7
51,          5371,           797,             6,         19913,          2687,             5,         32378,          6142,             9,         29603,          3512,             5
52,          5589,           830,             6,         20788,          2811,             4,         33832,          6420,            10,         30883,          3667,             7
53,          5810,           863,             5,         21657,          2917,             6,         35321,          6706,            10,         32192,          3827,             6
54,          6034,           896,             6,         22549,          3024,             4,         36841,          6997,            10,         33527,          3988,             5
55,          6261,           929,             6,         23477,          3132,             7,         38391,          7294,            11,         34890,          4153,             7
56,          6491,           962,             6,         24399,          3232,             5,         39980,          7599,            11,         36290,          4325,             6
57,          6724,           995,             6,         25332,          3343,             4,         41595,          7908,            11,         37717,          4500,             5
58,          6960,          1028,             6,         26290,          3454,             4,         43248,          8225,            11,         39176,          4682,             8
59,          7199,          1061,             6,         27248,          3556,             6,         44939,          8550,            11,         40658,          4864,             8
60,          7441,          1094,             6,         28193,          3655,             4,         46661,          8881,            12,         42176,          5053,             7
61,          7686,          1127,             6,         29191,          3768,             4,         48413,          9218,            11,         43722,          5246,             7
62,          7934,          1160,             6,         30212,          3882,             4,         50208,          9563,            12,         45298,          5444,             7
63,          8185,          1193,             7,         31253,          4005,             5,         52034,          9914,            12,         46904,          5645,             7
64,          8441,          1227,             6,         32335,          4131,           229,         53917,         10278,            14,         48540,          5852,             9
65,          8700,          1261,             6,         33399,          4255,             5,         55828,         10646,            13,         50202,          6061,             8
66,          8962,          1295,             6,         34491,          4380,             6,         57786,         11024,            13,         51894,          6274,             9
67,          9227,          1329,             6,         35622,          4505,             6,         59778,         11408,            23,         53613,          6489,             9
68,          9495,          1363,             6,         36776,          4635,            41,         61809,         11799,            13,         55360,          6706,             8
69,          9766,          1397,             6,         37908,          4756,            10,         63886,         12200,            16,         57133,          6924,            11
70,         10040,          1431,             6,         39075,          4891,             6,         65991,         12605,            14,         58935,          7145,             8
71,         10317,          1465,             6,         40236,          5020,             6,         68130,         13016,            13,         60768,          7370,             8
72,         10597,          1499,             6,         41420,          5151,             6,         70315,         13437,            14,         62632,          7600,             8
73,         10880,          1533,             7,         42661,          5281,             5,         72522,         13860,            13,         64523,          7832,             9
74,         11166,          1567,             6,         43913,          5411,             5,         74788,         14297,            14,         66445,          8069,            12
75,         11455,          1601,             7,         45166,          5544,             5,         77089,         14740,            14,         68396,          8309,            14
76,         11747,          1635,             7,         46441,          5684,             5,         79431,         15191,            15,         70374,          8549,             9
77,         12042,          1669,             7,         47773,          5821,             7,         81806,         15648,            14,         72380,          8791,            10
78,         12340,          1703,             7,         49120,          5960,             8,         84233,         16117,            15,         74420,          9040,            21
79,         12643,          1738,             7,         50444,          6107,             5,         86692,         16591,            16,         76493,          9294,            11
80,         12949,          1773,             7,         51787,          6253,             5,         89193,         17073,            15,         78601,          9555,            11
81,         13258,          1808,             7,         53185,          6400,             7,         91748,         17567,            24,         80736,          9818,            19
82,         13570,          1843,            11,         54604,          6545,            11,         94338,         18067,            33,         82901,         10083,            15
83,         13885,          1878,             7,         56026,          6687,             6,         96963,         18573,            15,         85095,         10351,             9
84,         14205,          1914,             7,         57472,          6832,            10,         99625,         19086,            16,         87324,         10626,            10
85,         14528,          1950,             7,         58950,          6993,             6,        102334,         19609,            15,         89582,         10904,            10
86,         14858,          1988,             7,         60452,          7157,             7,        105085,         20140,            15,         91874,         11187,             9
87,         15191,          2026,             9,         61965,          7313,             6,        107870,         20677,            19,         94197,         11474,            12
88,         15527,          2064,             8,         63530,          7478,             8,        110702,         21224,            17,         96549,         11764,            10
89,         15866,          2102,             8,         65085,          7641,             6,        113575,         21779,            17,         98932,         12058,            12
90,         16208,          2140,             8,         66657,          7811,             7,        116490,         22342,            17,        101343,         12355,            10
91,         16553,          2178,             8,         68226,          7971,             7,        119445,         22913,            18,        103784,         12656,            11
92,         16901,          2216,             7,         69804,          8127,             6,        122449,         23494,            16,        106263,         12962,            13
93,         17252,          2254,             7,         71429,          8298,             9,        125480,         24079,            17,        108773,         13272,            19
94,         17606,          2292,             8,         73064,          8466,             6,        128552,         24672,            18,        111309,         13583,            12
95,         17963,          2330,             8,         74738,          8645,             7,        131655,         25271,            21,        113882,         13902,            20
96,         18323,          2368,             7,         76445,          8832,             9,        134783,         25874,            17,        116493,         14230,            13
97,         18686,          2406,             8,         78126,          9006,             6,        137955,         26486,            17,        119131,         14560,            12
98,         19052,          2444,             9,         79801,          9179,             7,        141177,         27108,            18,        121794,         14891,            11
99,         19421,          2482,             8,         81556,          9367,            11,        144434,         27737,            24,        124488,         15226,            12
100,         19793,          2520,             8,         83324,          9555,             9,        147741,         28376,            18,        127220,         15568,            13
101,         20170,          2559,             8,         85130,          9743,             8,        151079,         29020,            28,        129981,         15912,            13
102,         20550,          2598,             8,         86949,          9933,             9,        154458,         29672,            21,        132770,         16259,            14
103,         20933,          2637,             8,         88795,         10132,             9,        157875,         30332,            20,        135590,         16609,            13
104,         21319,          2676,             9,         90659,         10331,             8,        161330,         30998,            30,        138437,         16961,            20
105,         21708,          2715,            11,         92513,         10528,            16,        164821,         31672,            16,        141312,         17315,            13
106,         22100,          2754,            18,         94410,         10732,             8,        168349,         32352,            15,        144218,         17674,            11
107,         22497,          2794,             9,         96307,         10918,             9,        171925,         33043,            14,        147158,         18038,            13
108,         22901,          2836,             9,         98223,         11107,             9,        175545,         33742,            14,        150130,         18404,            14
109,         23308,          2878,             9,        100162,         11294,            14,        179198,         34447,            14,        153132,         18774,            13
110,         23718,          2920,            15,        102121,         11488,             9,        182889,         35160,            14,        156167,         19150,            14
111,         24131,          2962,             1,        104131,         11685,             9,        186620,         35881,            14,        159235,         19531,            13
112,         24551,          3006,             1,        106163,         11893,             7,        190372,         36604,            15,        162348,         19921,            14
113,         24974,          3050,             1,        108155,         12072,             9,        194171,         37337,            15,        165488,         20314,            13
114,         25400,          3094,             1,        110175,         12258,             8,        198024,         38082,            15,        168661,         20712,            13
115,         25831,          3139,             1,        112255,         12466,             9,        201913,         38834,            15,        171863,         21112,            19
116,         26267,          3185,             1,        114334,         12674,            10,        205848,         39595,            17,        175106,         21522,            15
117,         26708,          3232,             1,        116434,         12877,             8,        209813,         40361,            15,        178380,         21937,            14
118,         27152,          3279,             1,        118571,         13086,             9,        213819,         41135,            15,        181683,         22353,            14
119,         27599,          3326,             1,        120695,         13284,             9,        217864,         41917,            15,        185015,         22773,            15
120,         28049,          3373,             1,        122838,         13489,             8,        221948,         42707,            16,        188390,         23201,            15
121,         28502,          3420,             1,        124962,         13686,             7,        226065,         43503,            22,        191793,         23632,            17
122,         28958,          3467,             1,        127098,         13888,             9,        230241,         44311,            16,        195234,         24072,            15
123,         29417,          3514,             2,        129313,         14103,            10,        234448,         45125,            18,        198702,         24513,            15
124,         29881,          3562,             3,        131547,         14324,            16,        238666,         45938,            27,        202208,         24962,            24
125,         30348,          3610,             2,        133827,         14555,            12,        242936,         46763,            40,        205744,         25415,            21
126,         30818,          3658,             2,        136130,         14785,            13,        247261,         47600,            20,        209320,         25875,            20
127,         31291,          3706,             1,        138428,         15008,            11,        251629,         48445,            19,        212928,         26340,            19
128,         31769,          3755,             1,        140735,         15231,            12,        256032,         49297,            18,        216570,         26810,            19
129,         32250,          3804,             1,        143097,         15467,            11,        260488,         50161,            19,        220240,         27282,            21
130,         32738,          3855,             1,        145496,         15702,            13,        264988,         51033,            17,        223939,         27757,            16
131,         33229,          3906,             1,        147876,         15937,            11,        269545,         51917,            15,        227672,         28237,            16
132,         33723,          3957,             1,        150262,         16175,             9,        274142,         52807,            15,        231437,         28721,            17
133,         34222,          4009,             1,        152690,         16415,            11,        278776,         53705,            16,        235229,         29204,            31
134,         34724,          4061,             1,        155147,         16661,            10,        283460,         54612,            16,        239058,         29695,            15
135,         35229,          4113,             1,        157655,         16907,            10,        288175,         55525,            15,        242912,         30184,            15
136,         35739,          4166,             1,        160201,         17155,            12,        292940,         56449,            15,        246807,         30683,            16
137,         36256,          4221,             1,        162732,         17397,            10,        297741,         57378,            16,        250733,         31184,            15
138,         36776,          4276,             1,        165314,         17655,            11,        302596,         58318,            16,        254685,         31685,            17
139,         37301,          4332,             1,        167838,         17896,            12,        307502,         59269,            17,        258670,         32188,            14
140,         37829,          4388,             1,        170411,         18131,            10,        312453,         60228,            24,        262688,         32696,            17
141,         38360,          4444,             1,        173019,         18390,            14,        317443,         61195,             6,        266740,         33211,            16
142,         38894,          4500,             1,        175641,         18648,            12,        322468,         62168,             5,        270824,         33725,            15
143,         39431,          4556,             2,        178280,         18909,            14,        327543,         63151,             6,        274940,         34246,            17
144,         39971,          4612,             2,        180919,         19165,            13,        332662,         64142,             6,        279093,         34772,            15
145,         40518,          4670,             1,        183556,         19421,            12,        337825,         65143,             5,        283279,         35302,            15
146,         41074,          4731,             1,        186256,         19682,            11,        343035,         66153,             5,        287500,         35837,            15
147,         41633,          4792,             1,        189013,         19945,            12,        348291,         67173,             4,        291749,         36373,            16
