            n, insertion_cmp, insertion_swaps, insertion_time,     quick_cmp,   quick_swaps,    quick_time,      heap_cmp,    heap_swaps,     heap_time,     merge_cmp,   merge_swaps,    merge_time
1,             1,             0,             2,             1,             0,            11,            10,             1,            27,             1,             0,             2
2,             5,             0,             1,            15,             2,            16,            32,             4,             4,            15,             1,             8
3,            12,             0,             0,            31,             4,             3,            63,             9,             3,            44,             3,             4
4,            27,             3,             2,            61,            12,             4,           105,            15,             3,            93,             8,            12
5,            47,             7,             1,           109,            23,             6,           161,            24,             4,           161,            15,             6
6,            79,            16,             1,           186,            40,             7,           243,            38,             6,           251,            25,             7
7,           125,            31,             2,           269,            58,            15,           337,            54,             6,           361,            37,             6
8,           186,            52,             3,           376,            77,            13,           446,            72,             6,           495,            53,            18
9,           254,            75,             3,           501,           100,             9,           574,            94,            12,           654,            73,             8
10,           337,           104,             4,           637,           125,             8,           733,           122,             8,           832,            94,            12
11,           423,           133,             3,           801,           156,            10,           919,           156,             8,          1035,           120,            10
12,           530,           171,             4,           980,           192,            10,          1119,           191,             9,          1266,           151,            15
13,           646,           212,             4,          1164,           218,            10,          1341,           231,            17,          1520,           185,            13
14,           775,           258,             4,          1386,           247,            14,          1581,           274,            11,          1801,           222,            13
15,           913,           307,             4,          1627,           290,            16,          1836,           320,            24,          2108,           265,            16
16,          1070,           364,             5,          1862,           327,            17,          2132,           374,             3,          2447,           313,            19
17,          1234,           423,             5,          2144,           376,            16,          2457,           434,             3,          2812,           365,            25
18,          1429,           496,             8,          2423,           427,            17,          2806,           498,             4,          3207,           423,            45
19,          1645,           578,             8,          2723,           469,            18,          3171,           565,             6,          3631,           485,            16
20,          1870,           663,             8,          3064,           519,            18,          3570,           639,             4,          4077,           549,            18
21,          2118,           758,             8,          3442,           574,            19,          3984,           715,             4,          4554,           618,            20
22,          2369,           853,             9,          3829,           629,            16,          4443,           801,             4,          5054,           692,            19
23,          2627,           950,             9,          4247,           692,            29,          4919,           889,             5,          5575,           767,            21
24,          2906,          1056,             9,          4707,           767,            35,          5430,           984,             4,          6136,           851,            13
25,          3228,          1182,            10,          5145,           826,            15,          5969,          1085,             4,          6725,           939,            13
26,          3575,          1319,            12,          5616,           892,            23,          6539,          1191,             6,          7345,          1033,            13
27,          3957,          1472,            12,          6120,           969,            18,          7136,          1303,             5,          7993,          1130,            16
28,          4352,          1630,            13,          6682,          1051,            31,          7768,          1422,            12,          8671,          1232,            15
29,          4762,          1794,            15,          7221,          1125,            18,          8413,          1543,             5,          9377,          1337,            15
30,          5217,          1979,            15,          7791,          1208,            26,          9085,          1669,             5,         10120,          1453,            16
31,          5734,          2194,            16,          8403,          1290,            26,          9779,          1799,             5,         10885,          1569,            23
32,          6306,          2435,            19,          9012,          1388,            22,         10507,          1935,             6,         11688,          1693,             4
33,          6931,          2701,            21,          9651,          1484,            40,         11244,          2070,             6,         12522,          1822,             4
34,          7605,          2990,            22,         10371,          1577,            20,         12039,          2218,             6,         13380,          1952,             4
35,          8336,          3306,            24,         11050,          1675,            34,         12854,          2369,             8,         14270,          2088,             4
36,          9138,          3656,            27,         11755,          1779,             4,         13697,          2526,             7,         15202,          2234,             9
37,          9973,          4021,            27,         12435,          1883,             4,         14582,          2692,             6,         16167,          2387,             6
38,         10877,          4419,            30,         13179,          1996,             4,         15491,          2861,             7,         17162,          2543,             6
39,         11859,          4855,            32,         13953,          2106,             6,         16428,          3036,             8,         18183,          2701,             5
40,         12898,          5318,            34,         14770,          2236,             4,         17390,          3214,             7,         19233,          2864,             5
41,         13968,          5795,            35,         15561,          2352,             4,         18383,          3398,             7,         20310,          3030,             6
42,         15043,          6273,            35,         16383,          2459,             4,         19402,          3587,             8,         21434,          3207,            45
43,         16129,          6755,            35,         17318,          2574,            58,         20454,          3782,            29,         22580,          3386,             5
44,         17240,          7248,            35,         18265,          2700,             4,         21546,          3984,             9,         23754,          3570,             6
45,         18441,          7785,            37,         19231,          2837,             4,         22669,          4192,             9,         24970,          3763,             4
46,         19729,          8364,            39,         20236,          2965,             5,         23827,          4406,             8,         26208,          3959,             6
47,         21048,          8957,            38,         21226,          3116,             4,         25005,          4624,             8,         27466,          4154,             6
48,         22406,          9568,            40,         22245,          3275,             7,         26213,          4848,             9,         28777,          4362,             7
49,         23853,         10222,            47,         23317,          3425,             5,         27442,          5075,             8,         30124,          4577,             7
50,         25355,         10902,            48,         24388,          3576,             6,         28707,          5308,             8,         31503,          4799,             7
51,         26918,         11611,            50,         25460,          3726,             8,         29990,          5544,             8,         32916,          5026,             5
52,         28584,         12370,            53,         26611,          3883,             5,         31315,          5788,            14,         34366,          5260,             8
53,         30353,         13179,            56,         27757,          4038,             7,         32662,          6036,             9,         35848,          5499,             6
54,         32223,         14037,            60,         29010,          4195,             5,         34057,          6295,             9,         37363,          5742,             7
55,         34138,         14916,            56,         30241,          4352,             5,         35484,          6561,            10,         38897,          5987,             7
56,         36146,         15840,            58,         31497,          4521,             5,         36926,          6826,            10,         40481,          6244,             6
57,         38261,         16816,            61,         32856,          4692,             6,         38410,          7101,            10,         42099,          6507,             7
58,         40397,         17801,            67,         34253,          4884,             8,         39924,          7381,            11,         43746,          6773,            11
59,         42644,         18840,            70,         35574,          5075,             7,         41484,          7671,            11,         45424,          7044,             9
60,         44978,         19921,            73,         36914,          5274,             6,         43083,          7967,            11,         47136,          7325,             7
61,         47369,         21029,            72,         38324,          5476,             7,         44696,          8264,            10,         48886,          7613,             7
62,         49833,         22172,            75,         39781,          5644,             6,         46356,          8572,            11,         50661,          7902,             8
63,         52334,         23332,            77,         41196,          5839,             8,         48046,          8885,            11,         52476,          8200,             9
64,         54874,         24510,            76,         42721,          6041,            28,         49799,          9212,            12,         54324,          8502,             9
65,         57531,         25745,            96,         44269,          6246,            11,         51560,          9540,            17,         56210,          8811,            15
66,         60303,         27036,            90,         45776,          6472,            12,         53357,          9874,            17,         58136,          9128,            16
67,         63102,         28339,            96,         47354,          6681,            13,         55190,         10216,            29,         60092,          9450,            11
68,         65992,         29686,            88,         48924,          6895,             9,         57042,         10558,            12,         62086,          9779,             9
69,         68927,         31054,            88,         50527,          7098,             9,         58940,         10911,            12,         64112,         10112,             9
70,         72001,         32490,            93,         52172,          7325,             8,         60909,         11280,            12,         66185,         10456,             9
71,         75136,         33955,            96,         53878,          7530,             9,         62881,         11648,            12,         68289,         10803,             9
